total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1351,.2808042287140325E-02,1,738,2,1,.8458878143203308E-25,1,3,-.4529709940283512E-13,1,3,0.2065548E-10,0.2065548E-10
1352,.2948444401497342E-02,1,739,1,1,-.1123216914851123E-02,1,10,.3732257558561797E-14,1,4,1.000000,0.6171353E-12
1353,.2948444401497342E-02,1,739,1,2,-.6929736225270311E-15,1,10,.3053113319326153E-16,1,8,0.6171353E-12,0.1700029E-16
1354,.2948444401497342E-02,1,739,2,1,.5257039661777668E-25,1,10,-.4263256414450822E-13,1,10,0.1287503E-10,0.1287503E-10
1355,.3095866621572209E-02,1,740,1,1,-.1179377760592802E-02,1,6,.3782564539365096E-14,1,9,1.000000,0.6164198E-12
1356,.3095866621572209E-02,1,740,1,2,-.7271449283190655E-15,1,6,.8326672685978460E-16,1,9,0.6164198E-12,0.1110223E-15
1357,.3095866621572209E-02,1,740,2,1,-.3912039391785389E-24,1,1,.6039613253089096E-13,1,7,0.7216983E-10,0.7216983E-10
1358,.3250659952650819E-02,1,741,1,1,-.1238346648623699E-02,1,1,.3756543687225458E-14,1,7,1.000000,0.6169078E-12
1359,.3250659952650819E-02,1,741,1,2,-.7638602062357475E-15,1,1,.5551115122141915E-16,1,7,0.6169078E-12,0.2081668E-16
1360,.3250659952650819E-02,1,741,2,1,-.1469833153596787E-24,1,7,.5151434833898172E-13,1,6,0.3518963E-10,0.3518963E-10
1361,.3413192950283360E-02,1,742,1,1,-.1300263981059725E-02,1,6,.3818126370622596E-14,1,3,1.000000,0.6171840E-12
1362,.3413192950283360E-02,1,742,1,2,-.8021659964699358E-15,1,6,.1165734175989113E-15,1,3,0.6171840E-12,0.1235123E-15
1363,.3413192950283360E-02,1,742,2,1,.7196774982607307E-25,1,10,-.5684341885666323E-13,1,7,0.3645795E-10,0.3645795E-10
1364,.3583852597797529E-02,1,743,1,1,-.1365277180115561E-02,1,2,.3778227730675156E-14,1,2,1.000000,0.6167745E-12
1365,.3583852597797529E-02,1,743,1,2,-.8420374584561861E-15,1,2,.7771561168814578E-16,1,2,0.6167745E-12,0.6106227E-16
1366,.3583852597797529E-02,1,743,2,1,-.4143213589896509E-24,1,10,.6394884621208172E-13,1,8,0.4947154E-10,0.4947154E-10
1367,.3763045227687405E-02,1,744,1,1,-.1433541039122180E-02,1,10,.3825065264526497E-14,1,6,1.000000,0.6177120E-12
1368,.3763045227687405E-02,1,744,1,2,-.8847195840809698E-15,1,10,.1221245327158963E-15,1,6,0.6177120E-12,0.1887379E-15
1369,.3763045227687405E-02,1,744,2,1,.4018212704222084E-24,1,10,-.6750155988948464E-13,1,8,0.5722001E-10,0.5722001E-10
1370,.3951197489071776E-02,1,745,1,1,-.1505218091076096E-02,1,6,.3795574965434912E-14,1,4,1.000000,0.6170572E-12
1371,.3951197489071776E-02,1,745,1,2,-.9285203737581946E-15,1,6,.9436895710825697E-16,1,9,0.6170572E-12,0.1124101E-15
1372,.3951197489071776E-02,1,745,2,1,-.1070721209537327E-23,1,3,.8526512827205141E-13,1,7,0.1123590E-09,0.1123590E-09
1373,.4148757363525366E-02,1,746,1,1,-.1580478995629936E-02,1,1,.3836340967120339E-14,1,8,1.000000,0.6177254E-12
1374,.4148757363525366E-02,1,746,1,2,-.9754490363495182E-15,1,1,.1332267630085023E-15,1,8,0.6177254E-12,0.1443290E-15
1375,.4148757363525366E-02,1,746,2,1,.2929246561693862E-24,1,1,.5151434833855713E-13,1,7,0.3931078E-10,0.3931078E-10
1376,.4356195231701634E-02,1,747,1,1,-.1659502945416055E-02,1,7,.3805115944552780E-14,1,7,1.000000,0.6165479E-12
1377,.4356195231701634E-02,1,747,1,2,-.1023261895260897E-14,1,7,.1054711873040248E-15,1,7,0.6165479E-12,0.1235123E-15
1378,.4356195231701634E-02,1,747,2,1,.2177948995436881E-24,1,4,-.4263256414298573E-13,1,4,0.3073097E-10,0.3073097E-10
1379,.4574004993286715E-02,1,748,1,1,-.1742478092683609E-02,1,10,.3749604793321557E-14,1,5,1.000000,0.6164646E-12
1380,.4574004993286715E-02,1,748,1,2,-.1074424990023872E-14,1,10,-.6106226633514298E-16,1,2,0.6164646E-12,0.4024558E-16
1381,.4574004993286715E-02,1,748,2,1,.6179613338629123E-24,1,5,-.8348877143775207E-13,1,6,0.8420109E-10,0.8420109E-10
1382,.4802705242951052E-02,1,749,1,1,-.1829601997312884E-02,1,1,.3805983306290767E-14,1,5,1.000000,0.6168370E-12
1383,.4802705242951052E-02,1,749,1,2,-.1128410727319465E-14,1,1,.1054711873514124E-15,1,5,0.6168370E-12,0.1235123E-15
1384,.4802705242951052E-02,1,749,2,1,.5578104212941945E-25,1,3,-.5240252675940265E-13,1,3,0.2771561E-10,0.2771561E-10
1385,.5042840505098604E-02,1,750,1,1,-.1921082097181010E-02,1,8,.3845881946238208E-14,1,3,1.000000,0.6172048E-12
1386,.5042840505098604E-02,1,750,1,2,-.1185164518306775E-14,1,8,.1443289932286845E-15,1,3,0.6172048E-12,0.1443290E-15
1387,.5042840505098604E-02,1,750,2,1,.5911892660794250E-25,1,9,.5506706201632090E-13,1,7,0.4618794E-10,0.4618794E-10
